User Name,Category,Location,Business Size,Investors
AvaThomas,Grocery,Bangalore,Medium,"FreshFund, GroceryCapital"
MiaBrown,Pharmacy,Pune,Small,"MedInvest, PharmaFund"
EthanChen,Salon,Delhi,Large,"BeautyInvest, StyleSalon Ventures"
OliviaSingh,Fitness,Chennai,Medium,"FitInvest, Fitness Partners"
ArjunLee,Restaurant,Jaipur,Small,"FoodCapital, Dining Ventures"
AvaWilson,Electronics,Ahmedabad,Large,"TechInvest, ElectronicVentures"
MiaPatel,PetStore,Kolkata,Medium,"PetInvest, Paws Partners"
EthanGupta,Stationery,Hyderabad,Small,"PaperInvest, WriteFund"
OliviaClark,Bookstore,Gurugram,Large,"BookInvest, ReaderVentures"
AriaKumar,Furniture,Mumbai,Medium,"DecorInvest, HomeDesign Partners"
LiamReddy,Jewelry,Bangalore,Small,"JewelInvest, Gem Ventures"
ZoePatel,Cafe,Pune,Large,CoffeeBucks
AaravThomas,Construction,Delhi,Medium,"BuildInvest, Construct Partners"
AvaBrown,Gardening,Chennai,Small,"GreenThumb Capital, GardenGrow Fund"
MiaSingh,Cosmetics,Jaipur,Large,"BeautyInvest, Makeup Fund"
EthanReddy,Printing,Ahmedabad,Medium,"PrintInvest, Ink Partners"
OliviaKumar,Photography,Kolkata,Small,"ClickInvest, Lens Ventures"
ArjunReddy,Laundry,Hyderabad,Large,"WashInvest, LaundryTech Fund"
AvaPatel,Transportation,Gurugram,Medium,"TransportCapital, Travel Ventures"
MiaSharma,ArtGallery,Mumbai,Small,"ArtInvest, Gallery Partners"
EthanSmith,Hardware,Bangalore,Large,"BuildInvest, HardwareFund"
OliviaJones,Software,Pune,Medium,"CodeCapital, Tech Ventures"
AriaThomas,Consulting,Delhi,Small,"ConsultInvest, Business Partners"
LiamGupta,Insurance,Chennai,Large,"SecureInvest, Insurance Fund"
ZoeSingh,Cafe,Jaipur,Medium,"StarBucks, CafeStars"
EmmaSmith,Mobile,Mumbai,Small,"TechInvest, MobileFund"
NoahJohnson,Dairy,Bangalore,Medium,"MilkCapital, DairyVentures"
MiaGupta,Bakery,Delhi,Small,"BakeInvest, Pastry Partners"
EthanPatel,Repairing,Kolkata,Large,"FixItFund, RepairTech Ventures"
OliviaWong,Clothing,Chennai,Medium,"FashionForward Investments, StyleVentures"
LiamClark,Automotive,Pune,Large,"DriveForward Investment Group, AutoFund"
ZoeKhan,Hospitality,Jaipur,Medium,"Resort Ventures, Hospitality Capital"
AvaShah,Retail,Ahmedabad,Small,"ShopInvest, RetailCapital"
MiaPatel,Entertainment,Hyderabad,Large,"Star Studios, Entertainment Ventures"
EthanReddy,HomeDecor,Gurugram,Small,"DecorInvest, HomeDesign Partners"
OliviaBrown,Grocery,Delhi,Medium,"FreshFund, GroceryCapital"
AriaChen,Pharmacy,Mumbai,Large,"MedInvest, PharmaFund"
LiamThomas,Salon,Bangalore,Small,"BeautyInvest, StyleSalon Ventures"
ZoeSingh,Fitness,Pune,Medium,"FitInvest, Fitness Partners"
AaravWilson,Restaurant,Chennai,Large,"FoodCapital, Dining Ventures"
AvaLee,Electronics,Jaipur,Medium,"TechInvest, ElectronicVentures"
MiaGupta,PetStore,Ahmedabad,Small,"PetInvest, Paws Partners"
EthanPatel,Stationery,Kolkata,Large,"PaperInvest, WriteFund"
OliviaWong,Bookstore,Hyderabad,Medium,"BookInvest, ReaderVentures"
LiamClark,Cafe,Gurugram,Large,"CoffeeCapital, CafeVentures"
ZoeKhan,Construction,Mumbai,Small,"BuildInvest, Construct Partners"
AvaShah,Gardening,Bangalore,Medium,"GreenThumb Capital, GardenGrow Fund"
MiaPatel,Cosmetics,Pune,Large,"BeautyInvest, Makeup Fund"
EthanReddy,Printing,Chennai,Medium,"PrintInvest, Ink Partners"
OliviaBrown,Photography,Jaipur,Small,"ClickInvest, Lens Ventures"
AriaChen,Laundry,Ahmedabad,Large,"WashInvest, LaundryTech Fund"
LiamThomas,Transportation,Kolkata,Medium,"TransportCapital, Travel Ventures"
ZoeSingh,ArtGallery,Hyderabad,Small,"ArtInvest, Gallery Partners"
AaravWilson,Hardware,Gurugram,Large,"BuildInvest, HardwareFund"
AvaLee,Software,Delhi,Medium,"CodeCapital, Tech Ventures"
MiaGupta,Consulting,Mumbai,Small,"ConsultInvest, Business Partners"
EthanPatel,Insurance,Bangalore,Large,"SecureInvest, Insurance Fund"
OliviaWong,Cafe,Pune,Medium,"CoffeeCapital, CafeVentures"
LiamClark,Mobile,Chennai,Large,"TechInvest, MobileFund"
ZoeKhan,Dairy,Jaipur,Medium,"MilkCapital, DairyVentures"
AvaShah,Bakery,Ahmedabad,Small,"BakeInvest, Pastry Partners"
MiaPatel,Repairing,Kolkata,Large,"FixItFund, RepairTech Ventures"
EthanReddy,Clothing,Hyderabad,Medium,"FashionForward Investments, StyleVentures"
OliviaBrown,Automotive,Gurugram,Small,"DriveForward Investment Group, AutoFund"
AriaChen,Hospitality,Delhi,Large,"Resort Ventures, Hospitality Capital"
LiamThomas,Retail,Mumbai,Medium,"ShopInvest, RetailCapital"
ZoeSingh,Entertainment,Bangalore,Small,"Star Studios, Entertainment Ventures"
AaravWilson,HomeDecor,Pune,Large,"DecorInvest, HomeDesign Partners"
AvaLee,Grocery,Chennai,Medium,"FreshFund, GroceryCapital"
MiaGupta,Pharmacy,Jaipur,Small,"MedInvest, PharmaFund"
EthanPatel,Salon,Ahmedabad,Large,"BeautyInvest, StyleSalon Ventures"
OliviaWong,Fitness,Kolkata,Medium,"FitInvest, Fitness Partners"
LiamClark,Restaurant,Hyderabad,Small,"FoodCapital, Dining Ventures"
ZoeKhan,Electronics,Gurugram,Large,"TechInvest, ElectronicVentures"
AvaShah,PetStore,Delhi,Medium,"PetInvest, Paws Partners"
MiaPatel,Stationery,Mumbai,Small,"PaperInvest, WriteFund"
EthanReddy,Bookstore,Bangalore,Large,"BookInvest, ReaderVentures"
OliviaBrown,Cafe,Pune,Medium,"CoffeeCapital, CafeVentures"
AriaChen,Construction,Chennai,Small,"BuildInvest, Construct Partners"
LiamThomas,Gardening,Jaipur,Large,"GreenThumb Capital, GardenGrow Fund"
ZoeSingh,Cosmetics,Ahmedabad,Medium,"BeautyInvest, Makeup Fund"
AaravWilson,Printing,Kolkata,Small,"PrintInvest, Ink Partners"
AvaLee,Photography,Hyderabad,Large,"ClickInvest, Lens Ventures"
MiaGupta,Laundry,Gurugram,Medium,"WashInvest, LaundryTech Fund"
EthanPatel,Transportation,Delhi,Small,"TransportCapital, Travel Ventures"
OliviaWong,ArtGallery,Mumbai,Large,"ArtInvest, Gallery Partners"
LiamClark,Hardware,Bangalore,Small,"BuildInvest, HardwareFund"
ZoeKhan,Software,Pune,Medium,"CodeCapital, Tech Ventures"
AvaShah,Consulting,Chennai,Large,"ConsultInvest, Business Partners"
MiaPatel,Insurance,Jaipur,Small,"SecureInvest, Insurance Fund"
EthanReddy,Cafe,Ahmedabad,Large,"CoffeeCapital, CafeVentures"
OliviaBrown,Mobile,Kolkata,Medium,"TechInvest, MobileFund"
AriaChen,Dairy,Hyderabad,Large,"MilkCapital, DairyVentures"
LiamThomas,Bakery,Gurugram,Medium,"BakeInvest, Pastry Partners"
ZoeSingh,Repairing,Delhi,Small,"FixItFund, RepairTech Ventures"
AaravWilson,Clothing,Mumbai,Large,"FashionForward Investments, StyleVentures"
AvaLee,Automotive,Bangalore,Small,"DriveForward Investment Group, AutoFund"
MiaGupta,Hospitality,Pune,Medium,"Resort Ventures, Hospitality Capital"
EthanPatel,Retail,Chennai,Large,"ShopInvest, RetailCapital"
OliviaWong,Entertainment,Jaipur,Small,"Star Studios, Entertainment Ventures"
LiamClark,HomeDecor,Ahmedabad,Large,"DecorInvest, HomeDesign Partners"
ZoeKhan,Grocery,Kolkata,Medium,"FreshFund, GroceryCapital"
AvaShah,Pharmacy,Hyderabad,Small,"MedInvest, PharmaFund"
MiaPatel,Salon,Gurugram,Large,"BeautyInvest, StyleSalon Ventures"
EthanReddy,Fitness,Delhi,Medium,"FitInvest, Fitness Partners"
OliviaBrown,Restaurant,Mumbai,Small,"FoodCapital, Dining Ventures"
AriaChen,Electronics,Bangalore,Large,"TechInvest, ElectronicVentures"
LiamThomas,PetStore,Pune,Medium,"PetInvest, Paws Partners"
ZoeSingh,Stationery,Chennai,Small,"PaperInvest, WriteFund"
AaravWilson,Bookstore,Jaipur,Large,"BookInvest, ReaderVentures"
AvaLee,Cafe,Ahmedabad,Medium,"CoffeeCapital, CafeVentures"
MiaGupta,Construction,Kolkata,Small,"BuildInvest, Construct Partners"
EthanPatel,Gardening,Hyderabad,Large,"GreenThumb Capital, GardenGrow Fund"
OliviaWong,Cosmetics,Gurugram,Medium,"BeautyInvest, Makeup Fund"
LiamClark,Printing,Delhi,Small,"PrintInvest, Ink Partners"
ZoeKhan,Photography,Mumbai,Large,"ClickInvest, Lens Ventures"
AvaShah,Laundry,Bangalore,Medium,"WashInvest, LaundryTech Fund"
MiaPatel,Transportation,Pune,Small,"TransportCapital, Travel Ventures"
EthanReddy,ArtGallery,Chennai,Large,"ArtInvest, Gallery Partners"
OliviaBrown,Hardware,Jaipur,Medium,"BuildInvest, HardwareFund"
AriaChen,Software,Ahmedabad,Small,"CodeCapital, Tech Ventures"
LiamThomas,Consulting,Kolkata,Large,"ConsultInvest, Business Partners"
ZoeSingh,Insurance,Hyderabad,Medium,"SecureInvest, Insurance Fund"
